*Au+ Q  % XX344LF006.TextGrid
beendlela bE:nd-\K\Ela  % XX211LM031.TextGrid
beendlela b_<End-\K\Ela  % XX130LF032.TextGrid
beendlela nE:nd-\K\Ela  % XX041LF024.TextGrid
beendlela b_<E:nd-\K\El  % XX180LM032.TextGrid
beendlela b_<End-\K\ala  % XX269LF023.TextGrid
begusha b_<eguSa  % XX206LF027.TextGrid
begusha b_<eguS  % XX038LF021.TextGrid
beka b_<Ek_>a  % XX029LF035.TextGrid XX206LF026.TextGrid
bekuza jO  % XX382LM015.TextGrid
bendifuna b_<endifuna  % XX170CF027.TextGrid
bendingathanda b_<endiNgat_handa  % XX298LF021.TextGrid
bendingathandi b_<endiNgat_handa  % XX259LM027.TextGrid
bendlela b_<End-\K\Ela  % XX038LF025.TextGrid XX039LM028.TextGrid XX056CF028.TextGrid XX120LF024.TextGrid XX128LF035.TextGrid XX132LM032.TextGrid XX183LM021.TextGrid XX202LM030.TextGrid XX340CF027.TextGrid XX400CF023.TextGrid
beneebhrorho b_<EnE:b_0rOxO  % XX220LF137.TextGrid
bhakabhaka b_0ak_>ab_0ak_>a  % XX359LF022.TextGrid
bhinqa b_0i!\~a  % XX037LF004.TextGrid XX272LF004.TextGrid XX300LM004.TextGrid XX347LF004.TextGrid
bhukhingi b_0uk_hiNg  % XX348LM020.TextGrid XX359LF020.TextGrid
bhukingi b_0uk_>iNg  % XX170CF021.TextGrid
bhukingi b_0uk_hiNgi  % XX206LF036.TextGrid
bhukisha b_0uk_>iSa  % XX001LF036.TextGrid XX080LM032.TextGrid XX113LF030.TextGrid XX116LF032.TextGrid XX116LM033.TextGrid XX167CF036.TextGrid XX281LF027.TextGrid XX347LF022.TextGrid XX347LF031.TextGrid XX361LM031.TextGrid
bhukisha b_0uk_>i:Sa  % XX348LM036.TextGrid
binzana b_<ind-\zan  % XX269LF033.TextGrid
bonke b_<ONk_>E  % XX038LF019.TextGrid XX101LF025.TextGrid XX130LF024.TextGrid XX218LF033.TextGrid
box bQks  % XX173LM012.TextGrid XX208LF013.TextGrid
box bOks  % XX184LM012.TextGrid
but bat  % XX139LF015.TextGrid
buya b_<uja  % XX149LF126.TextGrid XX155CM027.TextGrid
camp k{mp  % XX149LF012.TextGrid XX331LF012.TextGrid XX334CM013.TextGrid XX336CM012.TextGrid XX338CM013.TextGrid XX388LF012.TextGrid
camp k{mp_>  % XX032LF012.TextGrid XX337LF012.TextGrid
camp k{:mp  % XX384LM012.TextGrid
camp kEmp_>  % XX382LM013.TextGrid
cell sEl  % XX080LM019.TextGrid XX120LF019.TextGrid XX270LF019.TextGrid
cell sel  % XX074LF019.TextGrid
cellphone sElf@Un  % XX054CF019.TextGrid
cellular sElula  % XX077CM019.TextGrid XX103LM019.TextGrid XX142CF019.TextGrid
cellular selula  % XX162CF019.TextGrid
cent sEnt  % XX006LF034.TextGrid XX021CM035.TextGrid XX040LM036.TextGrid XX056CF030.TextGrid XX077CM038.TextGrid XX103LM036.TextGrid XX116LF036.TextGrid XX144CF032.TextGrid XX147CF028.TextGrid XX207LF033.TextGrid XX209CF025.TextGrid XX218LF022.TextGrid XX221LF027.TextGrid XX222LM034.TextGrid XX276LF023.TextGrid XX297LM032.TextGrid XX312LM021.TextGrid XX327LF021.TextGrid XX365LM026.TextGrid XX397LM021.TextGrid
cent sEnts  % XX083LM028.TextGrid XX156CF037.TextGrid XX347LF028.TextGrid
cent sEnt_>  % XX180LM036.TextGrid XX215LF022.TextGrid XX261LM025.TextGrid
cent sE:n  % XX076LM024.TextGrid
cent sEns  % XX313CF021.TextGrid
centre sEnta  % XX014LF010.TextGrid
centre sEnt@  % XX011LF010.TextGrid
cents sEns  % XX007LF028.TextGrid XX011LF025.TextGrid XX014LF037.TextGrid XX015LF021.TextGrid XX024LM029.TextGrid XX026LF033.TextGrid XX029LF032.TextGrid XX032LF020.TextGrid XX033LF034.TextGrid XX035LF027.TextGrid XX037LF025.TextGrid XX044CF033.TextGrid XX053LM025.TextGrid XX058CF034.TextGrid XX062LF034.TextGrid XX063LF021.TextGrid XX065LF034.TextGrid XX072LF029.TextGrid XX074LF028.TextGrid XX080LM028.TextGrid XX097LM033.TextGrid XX102CF035.TextGrid XX102CM035.TextGrid XX106LF033.TextGrid XX108LM020.TextGrid XX110LF031.TextGrid XX111LF026.TextGrid XX113LF028.TextGrid XX114LM023.TextGrid XX118LF020.TextGrid XX145LM021.TextGrid XX152LM026.TextGrid XX174LM033.TextGrid XX175LM031.TextGrid XX176LF025.TextGrid XX182LM029.TextGrid XX184LM023.TextGrid XX186LM031.TextGrid XX191LM001.TextGrid XX193LM031.TextGrid XX211LM022.TextGrid XX234CM032.TextGrid XX241LF024.TextGrid XX242LF035.TextGrid XX255LM028.TextGrid XX258LM023.TextGrid XX270LF032.TextGrid XX280LM035.TextGrid XX281LF028.TextGrid XX282LF035.TextGrid XX294LM027.TextGrid XX300LM033.TextGrid XX314LF020.TextGrid XX316LM024.TextGrid XX323LF034.TextGrid XX324LF022.TextGrid XX325LF032.TextGrid XX326LF024.TextGrid XX328LF020.TextGrid XX329LF025.TextGrid XX331LF024.TextGrid XX338CM020.TextGrid XX339CM034.TextGrid XX340CF034.TextGrid XX341LF028.TextGrid XX348LM025.TextGrid XX349LM036.TextGrid XX350LM029.TextGrid XX361LM030.TextGrid XX377LM030.TextGrid XX377LM130.TextGrid XX381LF029.TextGrid XX382LM020.TextGrid XX385LF032.TextGrid XX387LF031.TextGrid XX388LF021.TextGrid XX396LM026.TextGrid
cents sEnts  % XX002LF033.TextGrid XX025LF037.TextGrid XX084LM020.TextGrid XX089LF031.TextGrid XX101LF020.TextGrid XX117LF031.TextGrid XX130LF026.TextGrid XX132LM031.TextGrid XX134LF035.TextGrid XX139LF032.TextGrid XX150LF035.TextGrid XX177LF029.TextGrid XX187LM023.TextGrid XX188LM033.TextGrid XX197LM027.TextGrid XX210LM033.TextGrid XX238LM036.TextGrid XX264LM029.TextGrid XX299LF022.TextGrid XX311CM036.TextGrid XX318LM033.TextGrid XX319CF025.TextGrid XX332LF020.TextGrid XX337LF028.TextGrid XX341LF028.TextGrid XX356LF030.TextGrid
cents sEn  % XX155CM026.TextGrid XX173LM027.TextGrid XX200LF020.TextGrid XX220LF021.TextGrid XX220LF022.TextGrid XX225LF026.TextGrid XX227LF026.TextGrid XX239LF033.TextGrid XX271LF032.TextGrid XX273LF030.TextGrid XX275LM027.TextGrid
cents sEnt  % XX023LF030.TextGrid XX075CM026.TextGrid XX091LM025.TextGrid XX206LF025.TextGrid XX208CF031.TextGrid XX384LM035.TextGrid XX397LM023.TextGrid
cents |\Ent-\s_>  % XX136LF024.TextGrid
cents sEnt-\s_>  % XX123CF026.TextGrid
cheque tSEk  % XX188LM034.TextGrid
cima |\ima  % XX022LF028.TextGrid XX054CF029.TextGrid XX067LF028.TextGrid XX100LM132.TextGrid XX108LM022.TextGrid XX108LM034.TextGrid XX136LF021.TextGrid XX150LF021.TextGrid XX155CM032.TextGrid XX209CF028.TextGrid XX218LF036.TextGrid XX227LF032.TextGrid XX259LM032.TextGrid XX264LM033.TextGrid XX281LF029.TextGrid XX282LF032.TextGrid XX313CF023.TextGrid XX316LM034.TextGrid XX326LF034.TextGrid XX329LF032.TextGrid XX335CM022.TextGrid XX341LF026.TextGrid XX349LM029.TextGrid XX365LM029.TextGrid XX377LM031.TextGrid
cima |\i:ma  % XX130LF027.TextGrid
clock klQk  % XX207LF015.TextGrid
coca |\O|\a  % XX038LF028.TextGrid XX326LF027.TextGrid
cofa |\Ofa  % XX128LF022.TextGrid
college kOlEd_0Z  % XX350LM010.TextGrid
college kOlE-\id-\Z  % XX355LF010.TextGrid
college kOlE-\it-\S  % XX360LF010.TextGrid
college kQlE-\id-\Z  % XX259LM010.TextGrid
college kQlE-\It-\S  % XX326LF012.TextGrid
college kOlE-\iS  % XX360LF010.TextGrid
com0ma kQm0ma  % XX304LF035.TextGrid
comma kOma  % XX001LF026.TextGrid XX119LF034.TextGrid XX179LM031.TextGrid XX182LM032.TextGrid XX208CF021.TextGrid XX208CF033.TextGrid XX341LF024.TextGrid XX341LF036.TextGrid XX400CF022.TextGrid
comma kQma  % XX210LM025.TextGrid XX210LM027.TextGrid XX213LF031.TextGrid XX213LF032.TextGrid XX213LF033.TextGrid
comma kQm@  % XX001LF022.TextGrid XX050CF028.TextGrid XX170CF028.TextGrid XX210LM025.TextGrid XX213LF031.TextGrid XX269LF027.TextGrid
comma koma  % XX001LF025.TextGrid
course kOs  % XX130LF009.TextGrid
court kOt  % XX138CM013.TextGrid
date dE-\it  % XX000CM014.TextGrid XX025LF014.TextGrid XX131LM014.TextGrid XX146LM014.TextGrid XX164CM014.TextGrid XX334CM006.TextGrid
date deti  % XX100LM006.TextGrid
day dE-\I  % XX273LF010.TextGrid
degree digri  % XX047LM009.TextGrid XX241LF009.TextGrid XX338CM009.TextGrid
degree d@grE  % XX264LM009.TextGrid
degree dIgri:  % XX264LM009.TextGrid
diary dajari  % XX167CF037.TextGrid
difunde ndifundE  % XX244LF010.TextGrid
diploma diplOma  % XX000LM209.TextGrid XX004CF009.TextGrid XX079CF009.TextGrid XX084LM009.TextGrid XX110LF009.TextGrid XX261LM009.TextGrid XX350LM009.TextGrid
diploma dipl@ma  % XX360LF009.TextGrid
diploma dipl@-\Uma  % XX259LM009.TextGrid XX355LF009.TextGrid
diploma dIpl@Uma  % XX157CF009.TextGrid
directory da-\iIrEktri  % XX355LF033.TextGrid
directory darEktri  % XX400CF033.TextGrid
directory da-\irEktri  % XX271LF031.TextGrid
directory da-\IrEktri  % XX202LM037.TextGrid
directory d@rEktir@  % XX132LM030.TextGrid
dolophu dOlOp_hu  % XX244LF021.TextGrid
donga dONga  % XX397LM035.TextGrid
double dab@l  % XX000CF007.TextGrid XX007LF207.TextGrid XX007LF227.TextGrid XX016LM034.TextGrid XX031LF007.TextGrid XX044CF001.TextGrid XX044CF020.TextGrid XX063LF030.TextGrid XX064CF007.TextGrid XX065LF027.TextGrid XX097LM022.TextGrid XX097LM025.TextGrid XX100LM007.TextGrid XX110LF036.TextGrid XX113LF025.TextGrid XX139LF035.TextGrid XX161CF007.TextGrid XX161CF038.TextGrid XX162CF027.TextGrid XX164CM022.TextGrid XX167CF036.TextGrid XX170CF007.TextGrid XX170CF020.TextGrid XX170CF037.TextGrid XX173LM002.TextGrid XX176LF027.TextGrid XX177LF007.TextGrid XX177LF033.TextGrid XX179LM020.TextGrid XX191LM003.TextGrid XX193LM023.TextGrid XX206LF007.TextGrid XX206LF023.TextGrid XX208LF007.TextGrid XX213LF007.TextGrid XX213LF023.TextGrid XX234CM007.TextGrid XX244LF007.TextGrid XX245CF022.TextGrid XX245CF033.TextGrid XX270LF025.TextGrid XX276LF007.TextGrid XX276LF027.TextGrid XX313CF027.TextGrid XX316LM007.TextGrid XX323LF007.TextGrid XX324LF007.TextGrid XX325LF036.TextGrid XX328LF007.TextGrid XX329LF007.TextGrid XX331LF001.TextGrid XX335CM024.TextGrid XX377LM024.TextGrid XX385LF036.TextGrid
double dabEl  % XX033LF001.TextGrid XX120LF007.TextGrid XX151CM007.TextGrid XX196LF007.TextGrid XX196LF026.TextGrid
double d@bEl  % XX072LF007.TextGrid XX072LF028.TextGrid
double dabl  % XX077CM007.TextGrid
drive dra-\if  % XX347LF013.TextGrid
drive dra-\If  % XX351LM013.TextGrid
drive dra-\iv  % XX339CM013.TextGrid
dwelisa dwelisa  % XX024LM023.TextGrid XX101LF027.TextGrid XX312LM025.TextGrid
dwelisa d_0welisa  % XX069LF028.TextGrid
e E  % XX000LF010.TextGrid XX000LF012.TextGrid XX000LF111.TextGrid XX000LF210.TextGrid XX000LF213.TextGrid XX000LM012.TextGrid XX000LM210.TextGrid XX000LM212.TextGrid XX000LM213.TextGrid XX001LF010.TextGrid XX001LF012.TextGrid XX001LF013.TextGrid XX004CF012.TextGrid XX011LF011.TextGrid XX011LF013.TextGrid XX013LF013.TextGrid XX014LF011.TextGrid XX015LF010.TextGrid XX015LF013.TextGrid XX015LF020.TextGrid XX016LM011.TextGrid XX016LM013.TextGrid XX016LM021.TextGrid XX022LF012.TextGrid XX023LF010.TextGrid XX023LF011.TextGrid XX023LF013.TextGrid XX025LF011.TextGrid XX026LF026.TextGrid XX031LF012.TextGrid XX031LF013.TextGrid XX032LF012.TextGrid XX033LF012.TextGrid XX033LF024.TextGrid XX038LF012.TextGrid XX041LF012.TextGrid XX044CF012.TextGrid XX044CF013.TextGrid XX044CF034.TextGrid XX047LM012.TextGrid XX047LM013.TextGrid XX050CF012.TextGrid XX050CF013.TextGrid XX053LM012.TextGrid XX055LF013.TextGrid XX056CF010.TextGrid XX056CF012.TextGrid XX058CF025.TextGrid XX063LF010.TextGrid XX063LF012.TextGrid XX067LF013.TextGrid XX074LF027.TextGrid XX077CM010.TextGrid XX077CM012.TextGrid XX079CF011.TextGrid XX079CF012.TextGrid XX083LM012.TextGrid XX086LM012.TextGrid XX086LM023.TextGrid XX087LM021.TextGrid XX088LM035.TextGrid XX090LM022.TextGrid XX091LM010.TextGrid XX091LM012.TextGrid XX092CM010.TextGrid XX093LF010.TextGrid XX096LM012.TextGrid XX096LM013.TextGrid XX096LM021.TextGrid XX098LF012.TextGrid XX100LM012.TextGrid XX100LM112.TextGrid XX102CF022.TextGrid XX102CM010.TextGrid XX102CM013.TextGrid XX103LM010.TextGrid XX103LM012.TextGrid XX108LM012.TextGrid XX109CF012.TextGrid XX110LF012.TextGrid XX110LF013.TextGrid XX113LF012.TextGrid XX113LF013.TextGrid XX113LF035.TextGrid XX115LF010.TextGrid XX115LF031.TextGrid XX116LF013.TextGrid XX120LF011.TextGrid XX120LF012.TextGrid XX120LM012.TextGrid XX124LM013.TextGrid XX128LF032.TextGrid XX130LF010.TextGrid XX130LF012.TextGrid XX130LF013.TextGrid XX130LF038.TextGrid XX131LM010.TextGrid XX131LM011.TextGrid XX131LM012.TextGrid XX131LM113.TextGrid XX131LM127.TextGrid XX136LF010.TextGrid XX136LF011.TextGrid XX136LF012.TextGrid XX136LF031.TextGrid XX138CM013.TextGrid XX139LF010.TextGrid XX143LM010.TextGrid XX144CF013.TextGrid XX144CF033.TextGrid XX145LM012.TextGrid XX146LM012.TextGrid XX147CF013.TextGrid XX149LF012.TextGrid XX149LF125.TextGrid XX150LF013.TextGrid XX151CM012.TextGrid XX151CM013.TextGrid XX152LF012.TextGrid XX156CF026.TextGrid XX157CF012.TextGrid XX157CF013.TextGrid XX161CF012.TextGrid XX162CF012.TextGrid XX164CF012.TextGrid XX164CM013.TextGrid XX170CF010.TextGrid XX172LM012.TextGrid XX172LM013.TextGrid XX174LM012.TextGrid XX174LM022.TextGrid XX175LM012.TextGrid XX175LM013.TextGrid XX176LF012.TextGrid XX177LF012.TextGrid XX180LM011.TextGrid XX180LM012.TextGrid XX182LM010.TextGrid XX183LM010.TextGrid XX187LM030.TextGrid XX188LM012.TextGrid XX188LM035.TextGrid XX200LF012.TextGrid XX202LM012.TextGrid XX207LF012.TextGrid XX207LF027.TextGrid XX208CF013.TextGrid XX208CF035.TextGrid XX210LM010.TextGrid XX210LM011.TextGrid XX210LM012.TextGrid XX210LM029.TextGrid XX212LF012.TextGrid XX215LF012.TextGrid XX215LF013.TextGrid XX218LF013.TextGrid XX218LF032.TextGrid XX220LF012.TextGrid XX220LF112.TextGrid XX220LF113.TextGrid XX220LF131.TextGrid XX221LF022.TextGrid XX222LM036.TextGrid XX225LF035.TextGrid XX234CM010.TextGrid XX234CM012.TextGrid XX234CM013.TextGrid XX238LM010.TextGrid XX240LF013.TextGrid XX242LF027.TextGrid XX245CF012.TextGrid XX263LM012.TextGrid XX264LM012.TextGrid XX268LM010.TextGrid XX268LM011.TextGrid XX269LF011.TextGrid XX270LF028.TextGrid XX273LF011.TextGrid XX273LF012.TextGrid XX273LF037.TextGrid XX281LF030.TextGrid XX294LM031.TextGrid XX299LF023.TextGrid XX300LM031.TextGrid XX301LF009.TextGrid XX301LF010.TextGrid XX301LF013.TextGrid XX303LF013.TextGrid XX304LF012.TextGrid XX313CF010.TextGrid XX313CF011.TextGrid XX314LF012.TextGrid XX314LF034.TextGrid XX316LM013.TextGrid XX318LM012.TextGrid XX318LM013.TextGrid XX325LF012.TextGrid XX325LF013.TextGrid XX326LF012.TextGrid XX327LF012.TextGrid XX328LF012.TextGrid XX328LF013.TextGrid XX330LF012.TextGrid XX331LF012.TextGrid XX332LF012.TextGrid XX332LF013.TextGrid XX334CM013.TextGrid XX336CM012.TextGrid XX337LF012.TextGrid XX337LF036.TextGrid XX338CM011.TextGrid XX338CM013.TextGrid XX339CM012.TextGrid XX340CF012.TextGrid XX340CF013.TextGrid XX344LF010.TextGrid XX344LF012.TextGrid XX344LF013.TextGrid XX346LM013.TextGrid XX348LM013.TextGrid XX350LM012.TextGrid XX356LF010.TextGrid XX356LF012.TextGrid XX356LF013.TextGrid XX360LF012.TextGrid XX361LM010.TextGrid XX361LM013.TextGrid XX377LM112.TextGrid XX384LM010.TextGrid XX384LM012.TextGrid XX385LF012.TextGrid XX385LF029.TextGrid XX387LF021.TextGrid XX388LF012.TextGrid XX389LF012.TextGrid XX389LF024.TextGrid XX396LM010.TextGrid XX396LM012.TextGrid XX397LM010.TextGrid XX397LM012.TextGrid XX400CF012.TextGrid
e e  % XX000LM012.TextGrid XX038LF013.TextGrid XX054CF013.TextGrid XX058CF010.TextGrid XX058CF012.TextGrid XX067LF013.TextGrid XX120LF011.TextGrid XX128LF010.TextGrid XX136LF013.TextGrid XX152LM021.TextGrid XX157CF012.TextGrid XX172LM011.TextGrid XX172LM012.TextGrid XX209CF013.TextGrid XX212LF011.TextGrid XX213LF012.TextGrid XX225LF034.TextGrid XX227LF012.TextGrid XX234CM012.TextGrid XX303LF013.TextGrid XX325LF028.TextGrid XX337LF013.TextGrid XX340CF012.TextGrid XX340CF022.TextGrid XX377LM012.TextGrid XX382LM013.TextGrid XX397LM021.TextGrid
e0Phaphu E0p_hap_hu  % XX075CM013.TextGrid
e0Tinarha e0t_>inaxa  % XX110LF035.TextGrid
e0qhineni e0!\_hineni  % XX280LM024.TextGrid
eAthamveve Eat_hamvEvE  % XX170LM010.TextGrid
eBellville Eb_<elvil  % XX128LF010.TextGrid
eBellville EbElv{l  % XX128LF011.TextGrid
eBellville Eb@lvEl  % XX138CM010.TextGrid
eBhisho eb_0iSO  % XX208LF012.TextGrid XX255LM025.TextGrid
eBhizana eb_0izana  % XX007LF112.TextGrid XX149LF112.TextGrid
eBhizana Eb_0izana  % XX323LF010.TextGrid
eBhunga eb_0uNga  % XX211LM013.TextGrid
eBisho eb_<iSO  % XX382LM023.TextGrid
eBontheuwel Ebontjuv@l  % XX361LM029.TextGrid
eButterworth ebatawET  % XX004CF010.TextGrid
eCala E|\a:la  % XX041LF010.TextGrid
eClarkbury Eklakbari  % XX355LF010.TextGrid
eCofimvaba E|\ofimvab_<a  % XX000LM010.TextGrid XX077CM010.TextGrid XX131LM010.TextGrid
eDalibhaso Edalb_0asO  % XX173LM010.TextGrid
eDangwana EdaNgwana  % XX091LM012.TextGrid
eDutywa ed_0uc_>wa  % XX088LM010.TextGrid XX089LF010.TextGrid XX202LM010.TextGrid XX310LM010.TextGrid
eDutywa educ_>wa  % XX089LF033.TextGrid
eFoni Efoni  % XX102CF013.TextGrid
eGcuwa e|\_vuwa  % XX263LM022.TextGrid XX387LF010.TextGrid
eGiyogiyo egijogijO  % XX212LF013.TextGrid
eGqunube e!\_vunub_<E  % XX006LF013.TextGrid
eGugulethu egugulet_hu  % XX139LF012.TextGrid XX143LM012.TextGrid XX161CF012.TextGrid XX162CF012.TextGrid XX164CF012.TextGrid XX167CF012.TextGrid XX182LM012.TextGrid
eGugulethu EgugulEt_hu  % XX002LF024.TextGrid XX164CM013.TextGrid
eGugulethu EgugulEt_h  % XX164CM011.TextGrid
eGugulethu Egugulet_hu  % XX084LM027.TextGrid
eGugulethu egugulEt_hu  % XX131LM112.TextGrid
eHarare Eharar{  % XX102CM012.TextGrid
eHarare Eharar  % XX102CF013.TextGrid
eJambeni Ed-\Zambeni  % XX090LM012.TextGrid
eKaladokhwe Ek_>alad_0Ok_hwE  % XX215LF022.TextGrid
eKapa Ek_>ap_>a  % XX000LF010.TextGrid XX000LF011.TextGrid XX022LF011.TextGrid XX041LF011.TextGrid XX047LM010.TextGrid XX050CF010.TextGrid XX054CF010.TextGrid XX075CM010.TextGrid XX075CM011.TextGrid XX077LM011.TextGrid XX102CF011.TextGrid XX120LF012.TextGrid XX123CF011.TextGrid XX139LF011.TextGrid XX143LM011.TextGrid XX151CM011.TextGrid XX155CM021.TextGrid XX157CF010.TextGrid XX157CF011.TextGrid XX161CF010.TextGrid XX164CF010.TextGrid XX164CM011.TextGrid XX167CF011.TextGrid XX173LM011.TextGrid XX208CF010.TextGrid XX209CF010.TextGrid XX211LM011.TextGrid XX213LF010.TextGrid XX215LF011.TextGrid XX234CM012.TextGrid XX245CF011.TextGrid XX396LM011.TextGrid XX397LM011.TextGrid
eKapa Ek_>ap_>  % XX079CF010.TextGrid XX109CF010.TextGrid XX109CF011.TextGrid XX208CF011.TextGrid XX211LM012.TextGrid XX218LF010.TextGrid
eKapa Ek_>ap_>@  % XX220LF110.TextGrid
eKapa Ek_>a:p_>a  % XX172LM011.TextGrid
eKapa ek_>a:pa  % XX184LM011.TextGrid
eKhayamandi Ek_hajamandi  % XX011LF012.TextGrid XX013LF012.TextGrid XX023LF012.TextGrid
eKhayamandi Ek_hajamand  % XX000LF112.TextGrid XX014LF011.TextGrid
eKhayamnandi k_hajamnandi  % XX202LM012.TextGrid
eKhayelitsha Ek_hajelit-\S_ha  % XX047LM012.TextGrid XX058CF012.TextGrid XX067LF012.TextGrid XX102CF012.TextGrid XX102CM012.TextGrid XX115LF012.TextGrid XX341LF012.TextGrid
eKhayelitsha Ek_hajlit-\S_ha  % XX054CF012.TextGrid
eKhayelitsha Ek_hajeli:tSa  % XX174LM012.TextGrid
eKhimbali ek_himbali  % XX269LF010.TextGrid
eKhwezi Ek_hwezi  % XX243LF012.TextGrid XX310LM012.TextGrid XX355LF012.TextGrid
eKhwezi Ek_hwez  % XX240LF012.TextGrid XX242LF012.TextGrid
eKhwezi Ek_hwEzi  % XX244LF013.TextGrid
eKlerksdorp EklEksdOrp_h  % XX039LM025.TextGrid
eKomani Ek_>Omani  % XX053LM021.TextGrid
eKoyana Ek_>Ojana  % XX095LF012.TextGrid XX095LF013.TextGrid
eLamla Elamla  % XX116LM013.TextGrid
eLibhode elib_0Od_0E  % XX098LF011.TextGrid
eLibode elib_<OdE  % XX083LM010.TextGrid XX118LF010.TextGrid
eLibode elib_<Od_0E  % XX053LM010.TextGrid XX335CM012.TextGrid
eLubhelwana ElubElwana  % XX341LF013.TextGrid
eLundi elundi  % XX100LM012.TextGrid
eLusikisiki elusik_>isik_>i  % XX090LM010.TextGrid XX123CF028.TextGrid
eLusikisiki elusik_>isik_>  % XX090LM012.TextGrid
eMabandla Emab_<and-\K\a  % XX053LM013.TextGrid XX086LM012.TextGrid XX086LM013.TextGrid
eMabandla Emab_<ad-\K\  % XX085LM013.TextGrid
eMabheleni Emab_0Eleni  % XX239LF013.TextGrid
eMabhetshe Emab_0Et-\S_hE  % XX256LM013.TextGrid XX259LM012.TextGrid XX259LM013.TextGrid
eMahlanza EmaKand-\za  % XX387LF013.TextGrid
eMakhaza Emak_haza  % XX115LF012.TextGrid
eMamelodi EmamElod_0i  % XX272LF023.TextGrid
eMaphekula Emap_hek_>ula  % XX347LF013.TextGrid XX349LM013.TextGrid
eMasivuke Emasivuk_>E  % XX097LM012.TextGrid
eMavuso EmavusO  % XX258LM013.TextGrid
eMbekweni EmbEk_>wen  % XX209CF012.TextGrid
eMbuqe embu!\E  % XX095LF012.TextGrid XX324LF012.TextGrid XX347LF012.TextGrid XX348LM012.TextGrid XX349LM012.TextGrid XX351LM012.TextGrid
eMchewula Em|\_hewul  % XX000LF212.TextGrid
eMdantsane Emdant-\s_>anE  % XX316LM033.TextGrid
eMdantsane Emdant-\s_>an  % XX220LF010.TextGrid
eMdantsane Em=d_0ant-\s_>an  % XX269LF038.TextGrid
eMkhonto Emk_hO:nt_>O  % XX170CF013.TextGrid
eMkhonto Emk_hOnt_>O  % XX000CF013.TextGrid
eMonti Emont_>  % XX336CM027.TextGrid
eMonti Emont_>i  % XX177LF024.TextGrid
eMowbray Em@br@  % XX138CM012.TextGrid
eMpuma emp_>uma  % XX102CF010.TextGrid XX115LF010.TextGrid
eMpumalanga emp_>umala:Nga  % XX388LF034.TextGrid
eMqanduli Em=!\anduli  % XX331LF010.TextGrid
eMqanduli Em=!\andul  % XX330LF010.TextGrid
eMqanduli Em!\anduli  % XX347LF010.TextGrid
eMqhayi Em!\_haji  % XX388LF013.TextGrid XX389LF013.TextGrid
eMsimbithi em=simbit_h  % XX264LM013.TextGrid
eMtata Emt_>at_>a  % XX037LF011.TextGrid
eMtata Emt_>a:t_>a  % XX389LF011.TextGrid
eMtata Emt_hat_ha  % XX360LF012.TextGrid
eMthatha Emt_hat_ha  % XX007LF010.TextGrid XX029LF012.TextGrid XX031LF010.TextGrid XX031LF011.TextGrid XX031LF012.TextGrid XX032LF011.TextGrid XX062LF010.TextGrid XX062LF011.TextGrid XX062LF012.TextGrid XX080LM010.TextGrid XX083LM011.TextGrid XX084LM011.TextGrid XX085LM010.TextGrid XX086LM010.TextGrid XX086LM011.TextGrid XX087LM011.TextGrid XX087LM012.TextGrid XX091LM011.TextGrid XX094LF010.TextGrid XX095LF012.TextGrid XX097LM012.TextGrid XX098LF012.TextGrid XX106LF010.TextGrid XX106LF011.TextGrid XX110LF010.TextGrid XX119LF011.TextGrid XX120LM012.TextGrid XX134LF011.TextGrid XX144CF010.TextGrid XX150LF010.TextGrid XX150LF011.TextGrid XX150LF012.TextGrid XX152LF012.TextGrid XX177LF010.TextGrid XX177LF011.TextGrid XX186LM010.TextGrid XX187LM010.TextGrid XX187LM012.TextGrid XX188LM012.TextGrid XX206LF011.TextGrid XX222LM012.TextGrid XX222LM013.TextGrid XX225LF011.TextGrid XX239LF010.TextGrid XX242LF011.TextGrid XX244LF010.TextGrid XX244LF012.TextGrid XX300LM011.TextGrid XX303LF010.TextGrid XX303LF011.TextGrid XX303LF012.TextGrid XX310LM011.TextGrid XX312LM011.TextGrid XX314LF010.TextGrid XX314LF011.TextGrid XX314LF012.TextGrid XX318LM010.TextGrid XX325LF011.TextGrid XX328LF010.TextGrid XX334CM012.TextGrid XX334CM013.TextGrid XX336CM012.TextGrid XX339CM012.TextGrid XX351LM026.TextGrid XX355LF012.TextGrid XX356LF010.TextGrid XX356LF012.TextGrid XX377LM111.TextGrid XX382LM011.TextGrid
eMthatha Em=t_hat_ha  % XX206LF012.TextGrid XX222LM011.TextGrid XX239LF011.TextGrid XX240LF010.TextGrid XX240LF011.TextGrid XX242LF010.TextGrid XX294LM012.TextGrid XX326LF010.TextGrid XX328LF011.TextGrid XX336CM010.TextGrid XX336CM011.TextGrid XX337LF010.TextGrid XX338CM012.TextGrid
eMthatha Emt_hat_h  % XX089LF011.TextGrid XX093LF012.TextGrid XX094LF012.TextGrid XX111LF010.TextGrid XX113LF010.TextGrid XX114LM010.TextGrid XX304LF011.TextGrid XX312LM011.TextGrid XX325LF010.TextGrid XX325LF012.TextGrid XX377LM112.TextGrid
eMthatha Emt_ha:t_ha  % XX065LF010.TextGrid XX076LM010.TextGrid XX361LM011.TextGrid XX387LF011.TextGrid XX388LF010.TextGrid
eMthatha Em=t_hat_h  % XX176LF012.TextGrid XX258LM012.TextGrid XX330LF011.TextGrid XX332LF011.TextGrid XX338CM013.TextGrid
